OG	n_genes	n_sepecies	1841596_4	2012493_3	2026747_106	2026747_11	2026747_12	2026747_123	2026747_124	2026747_147	2026747_149	2026747_155	2026747_166	2026747_167	2026747_168	2026747_169	2026747_172	2026747_173	2026747_174	2026747_179	2026747_182	2026747_189	2026747_193	2026747_195	2026747_196	2026747_22	2026747_25	2026747_3	2026747_36	2026747_41	2026747_43	2026747_59	2026747_65	2026747_66	2026747_7	2876572_6	2876573_6
3897	3	3		NJBF01000031_29			RDOB01000005_73																							DXJL01000133_49							
3898	3	3		NJBF01000031_7			RDOB01000005_53																							DXJL01000133_29							
3899	3	3						BPTN01000335_3													DAOVHD010000137_6												JAAFKH010000102_8				
3900	3	3		NJBF01000015_33			RDOB01000002_497																							DXJL01000177_39							
3901	3	3		NJBF01000015_34			RDOB01000002_498																							DXJL01000177_38							
3902	3	3									JALSYK010000175_3											WAKA01000084_16						PBWW01000032_6									
3903	3	3		NJBF01000017_8															DAOWED010000236_3											DXJL01000096_1							
3904	3	3									JALSYK010000342_1											WAKA01000084_19								DXJL01000067_4							
3905	3	3		NJBF01000015_8			RDOB01000002_466																							DXJL01000154_3							
3906	3	3									JALSYK010000175_4											WAKA01000084_15						PBWW01000032_7									
3907	3	3		NJBF01000004_48			RDOB01000012_5																							DXJL01000159_3							
3908	3	3		NJBF01000016_58			RDOB01000002_57																							DXJL01000156_43							
3909	3	2									JALSYK010000596_9,JALSYK010000508_3											WAKA01000115_2															
3910	3	3		NJBF01000004_49			RDOB01000012_4																							DXJL01000159_4							
3911	3	3		NJBF01000036_8			RDOB01000008_33																							DXJL01000114_35							
3912	3	3									JALSYK010000175_6											WAKA01000084_13								DXJL01000067_3							
3913	3	3		NJBF01000015_65			RDOB01000006_3																							DXJL01000177_7							
3914	3	3		NJBF01000015_69			RDOB01000006_7																							DXJL01000177_3							
3915	3	3		NJBF01000015_68			RDOB01000006_6																							DXJL01000177_4							
3916	3	3						BPTN01000417_5	BPTO01000098_1							JAUWKS010000096_7																					
3917	3	3		NJBF01000015_67			RDOB01000006_5																							DXJL01000177_5							
3918	3	3									JALSYK010000262_2											WAKA01000136_2					JABCTZ010000023_5										
3919	3	3									JALSYK010000507_27								DAOWED010000213_8			WAKA01000232_54															
3920	3	2									JALSYK010000306_2,JALSYK010000286_6											WAKA01000221_7															
3921	3	2								JAMOVR010000372_3	JALSYK010000164_2,JALSYK010000288_3																										
3922	3	3		NJBF01000045_24			RDOB01000005_45																							DXJL01000133_22							
3923	3	2									JALSYK010000229_3,JALSYK010000556_1											WAKA01000038_2															
3924	3	3				RDOD01000028_6											DAOVPS010000231_3																		SOJV01000082_6		
3925	3	3		NJBF01000002_88							JALSYK010000637_2											WAKA01000218_6															
3926	3	3		NJBF01000022_67			RDOB01000002_457																							DXJL01000175_5							
3927	3	3									JALSYK010000364_4											WAKA01000232_4			JAYPQJ010000017_7												
3928	3	3		NJBF01000024_32			RDOB01000003_477																							DXJL01000197_4							
3929	3	2		NJBF01000052_3,NJBF01000023_45																										DXJL01000018_5							
3930	3	3		NJBF01000037_8			RDOB01000008_82																							DXJL01000172_36							
3931	3	2									JALSYK010000296_9,JALSYK010000384_1											WAKA01000072_9															
3932	3	3		NJBF01000048_5						JAMOVR010000296_18																				DXJL01000046_25							
3933	3	3		NJBF01000017_2							JALSYK010000627_5											WAKA01000077_5															
3934	3	3		NJBF01000032_43			RDOB01000003_338																							DXJL01000184_5							
3935	3	3		NJBF01000032_44			RDOB01000003_337																							DXJL01000184_6							
3936	3	3		NJBF01000032_46			RDOB01000003_335																							DXJL01000184_8							
3937	3	3		NJBF01000049_3			RDOB01000003_378																							DXJL01000142_5							
3938	3	3						BPTN01000156_3	BPTO01000309_3											DAOVER010000095_2																	
3939	3	3							BPTO01000340_3		JALSYK010000646_25												JAYNJJ010000176_4														
3940	3	2								JAMOVR010000373_4,JAMOVR010000268_1																			DXJV01000087_85								
3941	3	3		NJBF01000037_36			RDOB01000008_56																							DXJL01000172_9							
3942	3	3								JAMOVR010000277_18	JALSYK010000696_3											WAKA01000094_9															
3943	3	3								JAMOVR010000354_9	JALSYK010000634_17											WAKA01000056_9															
3944	3	3		NJBF01000037_3			RDOB01000009_9																							DXJL01000165_5							
3945	3	2		NJBF01000046_9,NJBF01000035_17																										DXJL01000097_8							
3946	3	3		NJBF01000038_9																										DXJL01000090_24					SOJV01000244_4		
3947	3	3		NJBF01000034_36															DAOWED010000145_13											DXJL01000131_17							
3948	3	2		NJBF01000036_12																										DXJL01000027_4,DXJL01000114_31							
3949	3	3						BPTN01000516_1	BPTO01000181_6																						JAHLWR010000023_34						
3950	3	3								JAMOVR010000226_7	JALSYK010000512_5											WAKA01000131_43															
3951	3	2		NJBF01000017_54,NJBF01000037_12																										DXJL01000172_32							
3952	3	3							BPTO01000122_1																				DXJV01000075_42	DXJL01000056_1							
3953	3	2									JALSYK010000484_1											WAKA01000018_1,WAKA01000233_2															
3954	3	3	MEHH01000196_1						BPTO01000322_3																								JAAFKH010000094_1				
3955	3	3		NJBF01000025_29						JAMOVR010000155_3																				DXJL01000166_13							
3956	3	3																											DXJV01000085_17		JAHLWR010000010_53						CP084166_2190
3957	3	2									JALSYK010000245_2											WAKA01000021_2,WAKA01000233_1															
3958	3	2									JALSYK010000229_4,JALSYK010000556_2											WAKA01000115_4															
3959	3	3						BPTN01000397_2	BPTO01000259_4											DAOVER010000041_1																	
3960	3	3		NJBF01000034_1				BPTN01000291_3																					DXJV01000054_9								
3961	3	2									JALSYK010000451_5											WAKA01000027_5,WAKA01000135_8															
3962	3	2		NJBF01000076_7,NJBF01000036_4																										DXJL01000114_38							
3963	3	2									JALSYK010000206_4											WAKA01000225_2,WAKA01000189_5															
3964	3	2									JALSYK010000257_1											WAKA01000039_5,WAKA01000224_3															
3965	3	2									JALSYK010000247_2,JALSYK010000285_4											WAKA01000167_5															
3966	3	2									JALSYK010000557_2,JALSYK010000558_2											WAKA01000165_2															
3967	3	2									JALSYK010000534_4,JALSYK010000657_5											WAKA01000162_2															
3968	3	2									JALSYK010000249_5,JALSYK010000538_2											WAKA01000225_4															
3969	3	2		NJBF01000017_78																										DXJL01000118_14,DXJL01000165_19							
3970	3	2									JALSYK010000119_12											WAKA01000218_4,WAKA01000142_5															
3971	3	3							BPTO01000103_12																						JAHLWR010000001_146						CP084166_915
3972	3	2									JALSYK010000142_5											WAKA01000179_1,WAKA01000197_1															
3973	3	2									JALSYK010000229_5											WAKA01000115_3,WAKA01000225_1															
3974	3	2									JALSYK010000423_1											WAKA01000188_6,WAKA01000137_7															
3975	3	2									JALSYK010000531_2,JALSYK010000200_4																										CP084166_392
3976	3	3		NJBF01000094_5																											JAHLWR010000015_9					CP084167_502	
3977	3	3									JALSYK010000349_8											WAKA01000009_35														CP084167_1940	
3978	3	3											JAUWJS010000013_19																					JAAFKI010000184_21			CP084166_853
3979	3	3																									JABCTZ010000039_31		DXJV01000085_13								CP084166_2192
3980	3	3			JAGLRO010000139_16																DAOVHD010000103_5															CP084167_977	
3981	3	2																								JAEOTE010000022_1,JAEOTE010000178_3											CP084166_2387
3982	3	3								JAMOVR010000233_1												WAKA01000071_2															CP084166_390
3983	3	3	MEHH01000004_33		JAGLRO010000229_1																															CP084167_1578	
3984	3	3									JALSYK010000349_7											WAKA01000009_36														CP084167_1941	
3985	3	3							BPTO01000194_8																									JAAFKI010000098_5		CP084167_30	
3986	3	3															DAOVPS010000138_2																		SOJV01000190_3		CP084166_712
3987	3	3								JAMOVR010000333_6	JALSYK010000581_3																									CP084167_2361	
3988	3	3		NJBF01000004_59																										DXJL01000159_14							CP084166_767
3989	3	3						BPTN01000280_2	BPTO01000205_1																											CP084167_22	
3990	3	3		NJBF01000042_22																										DXJL01000039_21						CP084167_837	
3991	3	3									JALSYK010000625_4											WAKA01000053_4															CP084166_2214
3992	3	3																														JAIZWM010000001_326				CP084167_2520	CP084166_2349
3993	3	3							BPTO01000090_10																											CP084167_953	CP084166_811
3994	3	3																																JAAFKI010000018_2		CP084167_2327	CP084166_2160
3995	3	3						BPTN01000361_1	BPTO01000374_2																											CP084167_2835	
3996	3	3													JAUWPI010000024_24																					CP084167_814	CP084166_520
3997	3	3																		DAOVER010000020_45																CP084167_2425	CP084166_2266
3998	3	3				RDOD01000002_80																														CP084167_322	CP084166_253
3999	3	3																		DAOVER010000069_3																CP084167_366	CP084166_290
4000	3	3								JAMOVR010000103_17																										CP084167_2747	CP084166_2579
4001	3	3					RDOB01000003_428																													CP084167_196	CP084166_136
4002	3	3													JAUWPI010000028_28																					CP084167_2414	CP084166_2247
4003	3	3								JAMOVR010000321_4																										CP084167_2753	CP084166_2585
4004	3	3							BPTO01000168_3																											CP084167_2735	CP084166_2570
4005	3	3				RDOD01000043_19																														CP084167_268	CP084166_65
4006	3	3							BPTO01000168_1																											CP084167_2733	CP084166_2568
4007	3	3							BPTO01000168_2																											CP084167_2734	CP084166_2569
4008	3	2																																		CP084167_1415	CP084166_2546,CP084166_450
4009	3	2																																		CP084167_2815	CP084166_2651,CP084166_2646
4010	3	2																																		CP084167_388	CP084166_318,CP084166_314
4011	3	2																																		CP084167_498,CP084167_491	CP084166_431
4012	3	2																																		CP084167_2338,CP084167_2339	CP084166_2173
4013	3	2																																		CP084167_2516	CP084166_2344,CP084166_556
4014	3	2																																		CP084167_423	CP084166_344,CP084166_345
4015	3	2																																		CP084167_77,CP084167_76	CP084166_243
4016	3	2																																		CP084167_375,CP084167_455	CP084166_373
4017	4	4																					JAYNJJ010000008_14	JAYPOQ010000001_201	JAYPQJ010000001_1044			PBWW01000040_17									
4018	4	4																					JAYNJJ010000008_11	JAYPOQ010000001_198	JAYPQJ010000001_1047			PBWW01000040_20									
4019	4	4																					JAYNJJ010000001_14	JAYPOQ010000006_46	JAYPQJ010000001_1401			PBWW01000025_10									
4020	4	4																					JAYNJJ010000008_12	JAYPOQ010000001_199	JAYPQJ010000001_1046			PBWW01000040_19									
4021	4	3														JAUWKS010000051_11											JABCTZ010000025_20,JABCTZ010000022_105					JAIZWM010000008_10					
4022	4	4																					JAYNJJ010000010_9	JAYPOQ010000001_152	JAYPQJ010000001_1096			PBWW01000033_20									
4023	4	4																					JAYNJJ010000008_4	JAYPOQ010000001_191	JAYPQJ010000001_1054			PBWW01000040_26									
4024	4	4																					JAYNJJ010000097_4	JAYPOQ010000004_104	JAYPQJ010000001_290			PBWW01000031_10									
4025	4	4																					JAYNJJ010000007_10	JAYPOQ010000007_50	JAYPQJ010000001_1484			PBWW01000044_21									
4026	4	4																					JAYNJJ010000002_20	JAYPOQ010000006_64	JAYPQJ010000001_1420			PBWW01000025_28									
4027	4	4										JAHQWT010000055_69			JAUWPI010000001_42					DAOVER010000002_103											JAHLWR010000003_48						
4028	4	4																					JAYNJJ010000046_5	JAYPOQ010000003_105	JAYPQJ010000001_506			PBWW01000004_34									
4029	4	4																					JAYNJJ010000101_1	JAYPOQ010000001_235	JAYPQJ010000001_1010			PBWW01000021_32									
4030	4	4																					JAYNJJ010000010_16	JAYPOQ010000001_146	JAYPQJ010000001_1102			PBWW01000033_26									
4031	4	4																					JAYNJJ010000010_17	JAYPOQ010000001_145	JAYPQJ010000001_1103			PBWW01000033_27									
4032	4	4																					JAYNJJ010000010_4	JAYPOQ010000001_157	JAYPQJ010000001_1091			PBWW01000033_15									
4033	4	4																					JAYNJJ010000059_1	JAYPOQ010000001_82	JAYPQJ010000001_1170			PBWW01000012_20									
4034	4	3																						JAYPOQ010000001_103	JAYPQJ010000020_2,JAYPQJ010000001_1145			PBWW01000039_1									
4035	4	4																					JAYNJJ010000186_1	JAYPOQ010000001_215	JAYPQJ010000001_1030			PBWW01000040_3									
4036	4	4							BPTO01000100_1									DAOWEK010000062_30		DAOVER010000080_1											JAHLWR010000001_171						
4037	4	4																					JAYNJJ010000010_8	JAYPOQ010000001_153	JAYPQJ010000001_1095			PBWW01000033_19									
4038	4	4																					JAYNJJ010000010_7	JAYPOQ010000001_154	JAYPQJ010000001_1094			PBWW01000033_18									
4039	4	4																					JAYNJJ010000071_3	JAYPOQ010000001_186	JAYPQJ010000001_1059			PBWW01000040_31									
4040	4	4																					JAYNJJ010000108_4	JAYPOQ010000001_109	JAYPQJ010000001_1140			PBWW01000039_6									
4041	4	3				RDOD01000008_16										JAUWKS010000002_117,JAUWKS010000002_119											JABCTZ010000040_28										
4042	4	4				RDOD01000001_261										JAUWKS010000015_20											JABCTZ010000045_31					JAIZWM010000001_450					
4043	4	4																					JAYNJJ010000200_3	JAYPOQ010000018_10	JAYPQJ010000001_1270			PBWW01000069_16									
4044	4	4																					JAYNJJ010000079_4	JAYPOQ010000001_217	JAYPQJ010000001_1028			PBWW01000040_1									
4045	4	4	MEHH01000030_10									JAHQWT010000015_174			JAUWPI010000003_31	JAUWKS010000030_12																					
4046	4	4																					JAYNJJ010000007_11	JAYPOQ010000007_51	JAYPQJ010000001_1483			PBWW01000044_20									
4047	4	4																					JAYNJJ010000007_1	JAYPOQ010000007_41	JAYPQJ010000001_1493			PBWW01000006_1									
4048	4	4																					JAYNJJ010000026_10	JAYPOQ010000006_30	JAYPQJ010000001_1385			PBWW01000061_24									
4049	4	4																					JAYNJJ010000155_2	JAYPOQ010000001_209	JAYPQJ010000001_1036			PBWW01000040_9									
4050	4	4																					JAYNJJ010000004_3	JAYPOQ010000015_20	JAYPQJ010000001_1539			PBWW01000035_10									
4051	4	4					RDOB01000006_99																JAYNJJ010000053_6	JAYPOQ010000001_182	JAYPQJ010000001_1064												
4052	4	4																					JAYNJJ010000015_9	JAYPOQ010000007_60	JAYPQJ010000001_1473			PBWW01000044_10									
4053	4	4																					JAYNJJ010000023_7	JAYPOQ010000002_108	JAYPQJ010000001_850			PBWW01000026_31									
4054	4	3																					JAYNJJ010000074_3	JAYPOQ010000022_2	JAYPQJ010000009_6,JAYPQJ010000001_1150												
4055	4	3																					JAYNJJ010000180_4	JAYPOQ010000008_62	JAYPQJ010000001_22,JAYPQJ010000003_1												
4056	4	4																					JAYNJJ010000005_16	JAYPOQ010000004_8	JAYPQJ010000001_186			PBWW01000022_20									
4057	4	4																					JAYNJJ010000037_5	JAYPOQ010000002_161	JAYPQJ010000001_904			PBWW01000049_20									
4058	4	4																					JAYNJJ010000050_2	JAYPOQ010000009_4	JAYPQJ010000001_1353			PBWW01000068_10									
4059	4	4																					JAYNJJ010000064_5	JAYPOQ010000004_100	JAYPQJ010000001_286			PBWW01000019_4									
4060	4	4																					JAYNJJ010000066_7	JAYPOQ010000007_28	JAYPQJ010000001_1506			PBWW01000059_10									
4061	4	4																					JAYNJJ010000023_8	JAYPOQ010000002_107	JAYPQJ010000001_849			PBWW01000026_30									
4062	4	4							BPTO01000350_2														JAYNJJ010000040_8	JAYPOQ010000002_190	JAYPQJ010000001_933												
4063	4	4				RDOD01000006_124										JAUWKS010000042_4											JABCTZ010000003_104					JAIZWM010000007_6					
4064	4	4									JALSYK010000022_14											WAKA01000044_30		JAYPOQ010000005_7	JAYPQJ010000001_607												
4065	4	4																					JAYNJJ010000020_1	JAYPOQ010000008_46	JAYPQJ010000001_38			PBWW01000050_2									
4066	4	4																					JAYNJJ010000063_8	JAYPOQ010000001_270	JAYPQJ010000001_974			PBWW01000005_5									
4067	4	4																					JAYNJJ010000080_6	JAYPOQ010000001_117	JAYPQJ010000001_1132			PBWW01000039_14									
4068	4	4																					JAYNJJ010000080_3	JAYPOQ010000001_119	JAYPQJ010000001_1129			PBWW01000039_17									
4069	4	4																					JAYNJJ010000028_12	JAYPOQ010000001_167	JAYPQJ010000001_1081			PBWW01000033_5									
4070	4	4																					JAYNJJ010000028_11	JAYPOQ010000001_166	JAYPQJ010000001_1082			PBWW01000033_6									
4071	4	4																					JAYNJJ010000024_9	JAYPOQ010000001_15	JAYPQJ010000001_1241			PBWW01000003_18									
4072	4	4																					JAYNJJ010000016_11	JAYPOQ010000023_10	JAYPQJ010000001_1450			PBWW01000025_58									
4073	4	3														JAUWKS010000002_105	DAOVPS010000117_1,DAOVPS010000026_1										JABCTZ010000045_10										
4074	4	4																					JAYNJJ010000004_2	JAYPOQ010000015_19	JAYPQJ010000001_1540			PBWW01000035_11									
4075	4	3				RDOD01000006_114	RDOB01000006_110,RDOB01000003_501									JAUWKS010000067_17																					
4076	4	4																					JAYNJJ010000059_3	JAYPOQ010000001_80	JAYPQJ010000001_1172			PBWW01000012_22									
4077	4	2														JAUWKS010000001_82,JAUWKS010000001_84											JABCTZ010000026_161,JABCTZ010000026_159										
4078	4	3																					JAYNJJ010000160_2	JAYPOQ010000022_1	JAYPQJ010000001_1149,JAYPQJ010000009_5												
4079	4	4																					JAYNJJ010000186_3	JAYPOQ010000001_213	JAYPQJ010000001_1032			PBWW01000040_5									
4080	4	3														JAUWKS010000021_39,JAUWKS010000002_131											JABCTZ010000019_15		DXJV01000006_60								
4081	4	4																					JAYNJJ010000191_2	JAYPOQ010000004_94	JAYPQJ010000001_280			PBWW01000019_10									
4082	4	4																					JAYNJJ010000004_11	JAYPOQ010000007_3	JAYPQJ010000001_1531			PBWW01000035_2									
4083	4	4																					JAYNJJ010000109_6	JAYPOQ010000006_20	JAYPQJ010000001_1375			PBWW01000061_14									
4084	4	4																					JAYNJJ010000050_1	JAYPOQ010000009_3	JAYPQJ010000001_1354			PBWW01000068_11									
4085	4	4																					JAYNJJ010000236_1	JAYPOQ010000009_22	JAYPQJ010000001_1334			PBWW01000060_10									
4086	4	4																					JAYNJJ010000025_4	JAYPOQ010000001_44	JAYPQJ010000001_1210			PBWW01000023_35									
4087	4	3														JAUWKS010000021_40,JAUWKS010000002_132											JABCTZ010000019_14		DXJV01000006_59								
4088	4	3																					JAYNJJ010000074_2	JAYPOQ010000022_3	JAYPQJ010000009_7,JAYPQJ010000001_1151												
4089	4	4																					JAYNJJ010000026_6	JAYPOQ010000006_26	JAYPQJ010000001_1381			PBWW01000061_20									
4090	4	4																					JAYNJJ010000242_2	JAYPOQ010000007_40	JAYPQJ010000001_1494			PBWW01000001_1									
4091	4	4																					JAYNJJ010000040_11	JAYPOQ010000002_193	JAYPQJ010000001_936			PBWW01000052_8									
4092	4	4																					JAYNJJ010000011_4	JAYPOQ010000004_69	JAYPQJ010000001_254			PBWW01000024_10									
4093	4	4																					JAYNJJ010000028_8	JAYPOQ010000001_163	JAYPQJ010000001_1085			PBWW01000033_9									
4094	4	4										JAHQWT010000055_80	JAUWJS010000031_14	JAUWEG010000061_3				DAOWEK010000050_12																			
4095	4	4																					JAYNJJ010000139_2	JAYPOQ010000003_10	JAYPQJ010000001_407			PBWW01000018_58									
4096	4	4																					JAYNJJ010000020_11	JAYPOQ010000008_36	JAYPQJ010000001_48			PBWW01000051_5									
4097	4	4																					JAYNJJ010000081_2	JAYPOQ010000005_15	JAYPQJ010000001_617			PBWW01000030_5									
4098	4	4																					JAYNJJ010000066_8	JAYPOQ010000007_29	JAYPQJ010000001_1505			PBWW01000059_11									
4099	4	4																					JAYNJJ010000018_5	JAYPOQ010000002_59	JAYPQJ010000001_798			PBWW01000010_16									
4100	4	4																					JAYNJJ010000099_3	JAYPOQ010000001_169	JAYPQJ010000001_1079			PBWW01000033_3									
4101	4	4																					JAYNJJ010000081_4	JAYPOQ010000005_13	JAYPQJ010000001_615			PBWW01000030_3									
4102	4	4																					JAYNJJ010000023_12	JAYPOQ010000002_103	JAYPQJ010000001_845			PBWW01000026_26									
4103	4	4								JAMOVR010000201_4						JAUWKS010000007_53											JABCTZ010000036_221					JAIZWM010000002_12					
4104	4	4																					JAYNJJ010000032_3	JAYPOQ010000003_122	JAYPQJ010000001_524			PBWW01000004_17									
4105	4	4																					JAYNJJ010000035_6	JAYPOQ010000003_127	JAYPQJ010000001_529			PBWW01000004_12									
4106	4	4																					JAYNJJ010000253_2	JAYPOQ010000020_10	JAYPQJ010000001_387			PBWW01000054_10									
4107	4	4																					JAYNJJ010000286_2	JAYPOQ010000001_266	JAYPQJ010000001_979			PBWW01000005_10									
4108	4	4																					JAYNJJ010000002_3	JAYPOQ010000006_81	JAYPQJ010000001_1437			PBWW01000025_45									
4109	4	4																					JAYNJJ010000038_3	JAYPOQ010000007_20	JAYPQJ010000001_1514			PBWW01000059_2									
4110	4	4			JAGLRO010000041_5										JAUWPI010000003_20					DAOVER010000002_36	DAOVHD010000116_6																
4111	4	4																					JAYNJJ010000003_15	JAYPOQ010000008_12	JAYPQJ010000001_75			PBWW01000027_8									
4112	4	4																					JAYNJJ010000096_2	JAYPOQ010000013_6	JAYPQJ010000001_95			PBWW01000020_10									
4113	4	4																					JAYNJJ010000072_4	JAYPOQ010000004_90	JAYPQJ010000001_276			PBWW01000019_14									
4114	4	4															DAOVPS010000007_19										JABCTZ010000045_92					JAIZWM010000001_502			SOJV01000094_19		
4115	4	4																					JAYNJJ010000170_4	JAYPOQ010000004_26	JAYPQJ010000001_206			PBWW01000015_8									
4116	4	4																					JAYNJJ010000051_7	JAYPOQ010000004_29	JAYPQJ010000001_209			PBWW01000015_5									
4117	4	4							BPTO01000012_6			JAHQWT010000055_103						DAOWEK010000050_35													JAHLWR010000004_41						
4118	4	4																					JAYNJJ010000095_6	JAYPOQ010000013_20	JAYPQJ010000001_109			PBWW01000048_3									
4119	4	4																					JAYNJJ010000003_16	JAYPOQ010000008_13	JAYPQJ010000001_74			PBWW01000027_7									
4120	4	4																					JAYNJJ010000061_2	JAYPOQ010000008_54	JAYPQJ010000001_30			PBWW01000014_8									
4121	4	4																					JAYNJJ010000097_8	JAYPOQ010000004_108	JAYPQJ010000001_294			PBWW01000031_6									
4122	4	4																					JAYNJJ010000066_3	JAYPOQ010000007_24	JAYPQJ010000001_1510			PBWW01000059_6									
4123	4	4																					JAYNJJ010000005_3	JAYPOQ010000004_17	JAYPQJ010000001_195			PBWW01000029_7									
4124	4	4				RDOD01000054_6										JAUWKS010000005_110											JABCTZ010000036_358		DXJV01000009_10								
4125	4	4																					JAYNJJ010000103_6	JAYPOQ010000003_78	JAYPQJ010000001_477			PBWW01000066_10									
4126	4	4																					JAYNJJ010000173_5	JAYPOQ010000005_84	JAYPQJ010000001_686			PBWW01000070_10									
4127	4	4																					JAYNJJ010000050_4	JAYPOQ010000009_6	JAYPQJ010000001_1351			PBWW01000068_8									
4128	4	4																					JAYNJJ010000023_9	JAYPOQ010000002_106	JAYPQJ010000001_848			PBWW01000026_29									
4129	4	4									JALSYK010000022_13											WAKA01000044_29		JAYPOQ010000005_6	JAYPQJ010000001_606												
4130	4	4																					JAYNJJ010000083_4	JAYPOQ010000003_28	JAYPQJ010000001_425			PBWW01000018_40									
4131	4	4																					JAYNJJ010000068_7	JAYPOQ010000002_48	JAYPQJ010000001_787			PBWW01000010_27									
4132	4	4																					JAYNJJ010000289_2	JAYPOQ010000005_89	JAYPQJ010000001_690			PBWW01000070_16									
4133	4	4																					JAYNJJ010000060_6	JAYPOQ010000003_34	JAYPQJ010000001_432			PBWW01000018_34									
4134	4	4														JAUWKS010000003_97	DAOVPS010000040_5										JABCTZ010000036_110								SOJV01000023_4		
4135	4	4																					JAYNJJ010000050_3	JAYPOQ010000009_5	JAYPQJ010000001_1352			PBWW01000068_9									
4136	4	4				RDOD01000006_8										JAUWKS010000070_1	DAOVPS010000166_3										JABCTZ010000003_206										
4137	4	4																					JAYNJJ010000007_6	JAYPOQ010000007_46	JAYPQJ010000001_1488			PBWW01000044_25									
4138	4	4									JALSYK010000470_4											WAKA01000095_24		JAYPOQ010000005_51	JAYPQJ010000001_650												
4139	4	3										JAHQWT010000050_186		JAUWEG010000087_5						DAOVER010000014_46,DAOVER010000006_95																	
4140	4	4				RDOD01000008_6										JAUWKS010000080_7											JABCTZ010000016_16					JAIZWM010000006_78					
4141	4	4														JAUWKS010000007_63											JABCTZ010000036_233		DXJV01000045_39			JAIZWM010000002_310					
4142	4	4		NJBF01000035_30			RDOB01000003_260			JAMOVR010000080_10																				DXJL01000032_8							
4143	4	4																					JAYNJJ010000003_5	JAYPOQ010000008_3	JAYPQJ010000001_84			PBWW01000063_3									
4144	4	4													JAUWPI010000006_24			DAOWEK010000030_7			DAOVHD010000023_2					JAEOTE010000092_24											
4145	4	4													JAUWPI010000006_29			DAOWEK010000030_2			DAOVHD010000023_7					JAEOTE010000092_29											
4146	4	4																					JAYNJJ010000140_3	JAYPOQ010000001_114	JAYPQJ010000001_1135			PBWW01000039_11									
4147	4	4																					JAYNJJ010000140_4	JAYPOQ010000001_115	JAYPQJ010000001_1134			PBWW01000039_12									
4148	4	4																					JAYNJJ010000102_8	JAYPOQ010000001_87	JAYPQJ010000001_1165			PBWW01000012_15									
4149	4	4																					JAYNJJ010000204_1	JAYPOQ010000001_135	JAYPQJ010000001_1113			PBWW01000033_36									
4150	4	3		NJBF01000010_60,NJBF01000001_140			RDOB01000001_154																							DXJL01000106_1							
4151	4	4																					JAYNJJ010000022_11	JAYPOQ010000021_7	JAYPQJ010000001_1296			PBWW01000028_10									
4152	4	4																					JAYNJJ010000082_5	JAYPOQ010000001_127	JAYPQJ010000001_1121			PBWW01000039_26									
4153	4	4																					JAYNJJ010000087_1	JAYPOQ010000001_126	JAYPQJ010000001_1122			PBWW01000039_25									
4154	4	4																					JAYNJJ010000204_2	JAYPOQ010000001_136	JAYPQJ010000001_1112			PBWW01000033_35									
4155	4	4																					JAYNJJ010000207_2	JAYPOQ010000001_132	JAYPQJ010000001_1116			PBWW01000033_39									
4156	4	4																					JAYNJJ010000011_11	JAYPOQ010000004_76	JAYPQJ010000001_261			PBWW01000024_2									
4157	4	4																					JAYNJJ010000200_2	JAYPOQ010000018_11	JAYPQJ010000001_1269			PBWW01000069_17									
4158	4	4																					JAYNJJ010000179_2	JAYPOQ010000001_139	JAYPQJ010000001_1109			PBWW01000033_32									
4159	4	4																					JAYNJJ010000045_2	JAYPOQ010000001_61	JAYPQJ010000001_1193			PBWW01000023_18									
4160	4	4																					JAYNJJ010000126_3	JAYPOQ010000013_15	JAYPQJ010000001_104			PBWW01000020_1									
4161	4	4																					JAYNJJ010000013_6	JAYPOQ010000001_67	JAYPQJ010000001_1186			PBWW01000023_12									
4162	4	4				RDOD01000001_173										JAUWKS010000029_20	DAOVPS010000015_18										JABCTZ010000011_45										
4163	4	4																					JAYNJJ010000207_4	JAYPOQ010000001_134	JAYPQJ010000001_1114			PBWW01000033_37									
4164	4	4																					JAYNJJ010000069_10	JAYPOQ010000018_1	JAYPQJ010000001_1281			PBWW01000069_6									
4165	4	4																					JAYNJJ010000087_3	JAYPOQ010000001_124	JAYPQJ010000001_1124			PBWW01000039_23									
4166	4	4																					JAYNJJ010000088_5	JAYPOQ010000001_33	JAYPQJ010000001_1222			PBWW01000013_16									
4167	4	4	MEHH01000120_1									JAHQWT010000032_27														JAEOTE010000007_131								JAAFKI010000100_4			
4168	4	4																					JAYNJJ010000021_11	JAYPOQ010000003_39	JAYPQJ010000001_437			PBWW01000018_29									
4169	4	4					RDOB01000002_165									JAUWKS010000015_45			DAOWED010000019_3													JAIZWM010000001_12					
4170	4	4	MEHH01000030_9									JAHQWT010000015_175						DAOWEK010000070_24																JAAFKI010000121_10			
4171	4	4																					JAYNJJ010000059_5	JAYPOQ010000001_78	JAYPQJ010000001_1174			PBWW01000012_24									
4172	4	4																					JAYNJJ010000094_2	JAYPOQ010000001_94	JAYPQJ010000001_1158			PBWW01000012_8									
4173	4	4		NJBF01000017_57																				JAYPOQ010000002_118	JAYPQJ010000001_860			PBWW01000026_41									
4174	4	4																					JAYNJJ010000017_9	JAYPOQ010000009_35	JAYPQJ010000001_1321			PBWW01000075_14									
4175	4	4																					JAYNJJ010000115_5	JAYPOQ010000012_30	JAYPQJ010000001_350			PBWW01000016_7									
